#,Associated Cell Fates,Steady State Probability,Cln3,MBF,SBF,Cln1-2,Cdh1,Swi5,Cdc20,Clb5-6,Sic1,Clb1-2,Mcm1
379,,1.7817e-13,0,0,1,0,1,1,1,1,0,1,0
380,,3.1343e-12,0,0,1,0,1,1,1,1,0,1,1
381,,2.5083e-11,0,0,1,0,1,1,1,1,1,0,0
382,,1.5961e-15,0,0,1,0,1,1,1,1,1,0,1
383,,1.9709e-15,0,0,1,0,1,1,1,1,1,1,0
384,,5.0798e-15,0,0,1,0,1,1,1,1,1,1,1
385,,0.11584,0,0,1,1,0,0,0,0,0,0,0
386,,0.00011602,0,0,1,1,0,0,0,0,0,0,1
387,,0.00011527,0,0,1,1,0,0,0,0,0,1,0
388,,2.3149e-07,0,0,1,1,0,0,0,0,0,1,1
389,,9.1807e-05,0,0,1,1,0,0,0,0,1,0,0
390,,9.1942e-08,0,0,1,1,0,0,0,0,1,0,1
391,,9.5716e-09,0,0,1,1,0,0,0,0,1,1,0
392,,9.6018e-12,0,0,1,1,0,0,0,0,1,1,1
393,,0.00011648,0,0,1,1,0,0,0,1,0,0,0
394,,3.6152e-07,0,0,1,1,0,0,0,1,0,0,1
395,,1.2182e-07,0,0,1,1,0,0,0,1,0,1,0
396,,0.00011704,0,0,1,1,0,0,0,1,0,1,1
397,,1.0185e-08,0,0,1,1,0,0,0,1,1,0,0
398,,1.318e-11,0,0,1,1,0,0,0,1,1,0,1
399,,6.3495e-12,0,0,1,1,0,0,0,1,1,1,0
400,,1.5064e-11,0,0,1,1,0,0,0,1,1,1,1
401,,0.00011595,0,0,1,1,0,0,1,0,0,0,0
402,,2.3701e-07,0,0,1,1,0,0,1,0,0,0,1
403,,1.2098e-07,0,0,1,1,0,0,1,0,0,1,0
404,,1.21e-07,0,0,1,1,0,0,1,0,0,1,1
405,,9.1908e-08,0,0,1,1,0,0,1,0,1,0,0
406,,4.6735e-10,0,0,1,1,0,0,1,0,1,0,1
407,,1.0721e-11,0,0,1,1,0,0,1,0,1,1,0
408,,2.5271e-13,0,0,1,1,0,0,1,0,1,1,1
409,,1.166e-07,0,0,1,1,0,0,1,1,0,0,0
410,,3.6772e-10,0,0,1,1,0,0,1,1,0,0,1
411,,1.3555e-10,0,0,1,1,0,0,1,1,0,1,0
