Attractor #,Associated Cell Fate,Steady State Probability,Cln3,MBF,SBF,Cln1-2,Cdh1,Swi5,Cdc20,Clb5-6,Sic1,Clb1-2,Mcm1,
359,,9.0437e-12,0,0,1,0,1,1,0,0,1,1,0,
360,,1.5951e-14,0,0,1,0,1,1,0,0,1,1,1,
361,,5.8087e-11,0,0,1,0,1,1,0,1,0,0,0,
362,,2.0936e-13,0,0,1,0,1,1,0,1,0,0,1,
363,,2.7274e-15,0,0,1,0,1,1,0,1,0,1,0,
364,,3.8723e-15,0,0,1,0,1,1,0,1,0,1,1,
365,,3.8706e-11,0,0,1,0,1,1,0,1,1,0,0,
366,,1.8745e-13,0,0,1,0,1,1,0,1,1,0,1,
367,,4.0884e-16,0,0,1,0,1,1,0,1,1,1,0,
368,,7.6437e-18,0,0,1,0,1,1,0,1,1,1,1,
369,,5.8589e-08,0,0,1,0,1,1,1,0,0,0,0,
370,,2.9663e-12,0,0,1,0,1,1,1,0,0,0,1,
371,,1.736e-10,0,0,1,0,1,1,1,0,0,1,0,
372,,5.356e-12,0,0,1,0,1,1,1,0,0,1,1,
373,,2.7284e-06,0,0,1,0,1,1,1,0,1,0,0,
374,,3.2138e-10,0,0,1,0,1,1,1,0,1,0,1,
375,,1.3187e-10,0,0,1,0,1,1,1,0,1,1,0,
376,,9.6045e-11,0,0,1,0,1,1,1,0,1,1,1,
377,,5.8162e-11,0,0,1,0,1,1,1,1,0,0,0,
378,,2.8991e-15,0,0,1,0,1,1,1,1,0,0,1,
379,,1.7684e-13,0,0,1,0,1,1,1,1,0,1,0,
380,,3.116e-12,0,0,1,0,1,1,1,1,0,1,1,
381,,2.5244e-11,0,0,1,0,1,1,1,1,1,0,0,
382,,1.6002e-15,0,0,1,0,1,1,1,1,1,0,1,
383,,1.9702e-15,0,0,1,0,1,1,1,1,1,1,0,
384,,5.0601e-15,0,0,1,0,1,1,1,1,1,1,1,
385,,0.11506,0,0,1,1,0,0,0,0,0,0,0,
386,,0.00011524,0,0,1,1,0,0,0,0,0,0,1,
387,,0.00011449,0,0,1,1,0,0,0,0,0,1,0,
388,,2.2993e-07,0,0,1,1,0,0,0,0,0,1,1,
389,,9.0753e-05,0,0,1,1,0,0,0,0,1,0,0,
390,,9.0888e-08,0,0,1,1,0,0,0,0,1,0,1,
391,,9.4842e-09,0,0,1,1,0,0,0,0,1,1,0,
392,,9.5142e-12,0,0,1,1,0,0,0,0,1,1,1,
393,,0.00011571,0,0,1,1,0,0,0,1,0,0,0,
394,,3.5924e-07,0,0,1,1,0,0,0,1,0,0,1,
395,,1.2101e-07,0,0,1,1,0,0,0,1,0,1,0,
396,,0.00011626,0,0,1,1,0,0,0,1,0,1,1,
397,,1.0094e-08,0,0,1,1,0,0,0,1,1,0,0,
398,,1.3072e-11,0,0,1,1,0,0,0,1,1,0,1,
